1000 3
-61.275162 -48.132267 -30.102259
-64.306824 -37.309822 -34.190758
-54.272209 -39.554909 -28.698647
-56.984032 -40.967327 -32.191544
-59.812141 -46.304512 -28.030210
-53.506256 -41.189316 -31.278122
-64.640388 -38.293514 -34.424767
-54.868374 -42.572929 -37.905819
-58.122166 -47.858173 -29.434717
-57.029182 -47.448822 -30.682108
-61.385181 -44.484081 -29.749823
-55.783302 -39.806751 -37.039551
-55.944496 -38.952511 -33.876404
-58.022766 -46.882332 -31.621279
-54.354149 -40.516541 -32.744129
-58.115589 -48.477322 -32.885883
-59.235424 -44.897018 -29.640062
-61.329910 -44.768135 -31.339268
-55.997475 -39.562149 -37.249393
-54.431824 -38.831310 -33.472919
-59.765247 -44.249065 -36.664536
-59.960693 -46.244049 -31.195400
-57.510998 -45.834187 -29.442112
-57.785412 -44.897572 -31.182589
-54.381981 -39.736942 -30.996157
-52.733780 -41.003502 -32.393860
-58.028683 -38.142475 -38.323143
-60.434444 -44.328461 -38.633762
-52.784496 -40.082272 -31.126204
-57.586201 -40.000931 -32.408966
-63.456329 -35.582401 -34.462669
-64.984230 -39.743607 -32.986385
-59.164837 -39.157951 -38.516365
-60.715305 -43.855282 -36.712399
-60.193272 -44.160217 -36.890491
-53.704205 -41.390831 -31.534214
-60.159821 -44.620373 -38.985569
-60.043129 -42.870396 -38.742222
-59.326065 -42.745434 -39.460918
-57.155792 -38.013847 -37.465580
-58.051590 -38.184784 -38.280918
-56.534592 -38.295784 -37.314693
-57.562477 -41.800121 -34.616871
-62.124832 -36.103195 -29.618393
-63.684292 -35.902817 -34.185276
-63.924080 -36.115864 -33.981209
-53.799843 -41.871189 -27.953510
-59.809277 -44.556068 -39.818897
-63.400959 -36.330345 -30.964018
-56.700165 -38.150299 -37.217422
-63.691902 -37.170422 -31.978643
-60.378052 -34.789173 -31.941315
-60.229713 -35.214005 -31.213034
-55.192062 -41.933582 -38.940639
-58.952152 -39.686745 -38.878357
-65.889130 -39.566593 -36.283733
-63.628159 -36.527115 -30.842779
-59.676708 -44.103622 -39.330399
-57.516094 -38.387653 -27.553778
-64.607155 -40.890194 -37.437271
-60.703407 -43.847393 -39.396034
-53.480392 -42.682724 -30.910028
-54.809288 -41.655476 -34.699505
-53.057446 -39.871803 -31.373789
-56.435928 -41.878925 -22.687370
-64.204742 -44.805355 -30.332453
-63.122505 -36.810230 -31.403797
-59.952126 -41.993572 -34.429173
-58.441662 -39.759712 -34.150368
-55.491692 -42.199558 -39.062019
-57.816727 -39.889477 -32.622753
-60.005791 -44.919804 -23.345997
-59.093266 -48.061466 -34.564106
-59.755001 -50.572357 -29.526150
-55.242928 -41.873539 -38.767513
-59.741875 -50.596256 -29.562181
-64.864967 -38.470234 -34.604088
-56.981686 -42.410259 -34.178959
-54.201694 -39.851376 -30.873028
-52.923992 -43.032066 -32.666122
-52.664673 -42.550220 -32.332970
-66.112900 -36.652641 -27.011269
-61.951038 -38.209553 -22.419510
-64.687103 -41.116814 -30.725035
-53.169037 -42.915123 -29.785166
-53.170502 -41.709106 -30.666285
-58.309006 -43.588989 -21.098766
-64.809975 -40.645077 -37.265114
-55.293652 -41.944626 -35.504227
-62.562077 -41.662659 -37.404839
-59.192616 -40.927040 -30.168465
-56.723297 -48.366005 -31.596998
-67.172813 -44.149521 -25.547905
-60.738014 -41.983639 -39.610123
-62.655121 -43.064148 -23.451252
-55.732769 -41.890499 -35.952335
-58.004242 -39.818832 -25.708321
-55.339947 -42.062325 -38.728924
-62.923450 -36.682335 -36.486347
-55.497688 -41.192272 -33.335945
-55.210514 -41.503574 -34.279510
-62.116879 -43.371578 -25.045500
-59.582275 -38.765163 -38.239487
-57.020451 -43.023201 -23.017231
-57.973728 -44.062794 -36.298313
-65.144386 -37.656921 -33.378990
-62.469341 -36.503265 -31.952444
-52.652180 -41.705074 -31.415646
-62.630573 -36.631577 -36.663349
-63.372654 -43.841633 -36.336773
-65.894264 -39.676456 -36.360176
-63.298470 -35.491817 -34.361786
-59.907501 -50.651989 -32.066952
-67.038834 -42.364700 -28.465851
-61.772312 -45.110703 -23.220016
-63.371750 -36.425106 -36.088177
-59.794159 -50.751583 -31.901426
-60.357906 -45.911228 -36.771378
-55.733753 -42.799274 -34.257633
-63.238796 -36.511307 -36.237225
-66.858414 -42.747742 -28.761234
-60.621838 -40.773525 -28.975601
-60.209499 -49.845894 -31.324598
-64.509880 -47.786095 -26.705379
-53.123650 -39.907978 -31.963696
-54.552471 -42.909897 -35.153252
-60.479542 -49.124763 -33.278954
-61.610172 -43.935883 -25.325169
-54.153584 -45.709702 -28.958237
-60.787556 -39.835594 -29.325045
-56.274368 -42.007870 -22.594839
-63.717766 -45.005108 -30.714705
-56.043705 -38.495304 -32.246223
-53.937603 -41.849895 -27.722338
-54.787861 -39.390785 -29.807703
-55.650826 -39.341496 -36.994862
-66.841972 -40.554424 -28.112299
-60.598526 -43.249138 -28.546249
-65.040321 -37.573578 -33.263638
-61.138035 -42.363205 -34.497601
-61.368904 -42.019947 -27.653643
-65.143105 -38.662189 -27.136702
-55.348125 -41.337421 -34.397793
-63.956940 -36.114147 -31.213755
-59.722851 -39.975811 -28.030174
-58.923355 -48.869457 -32.183167
-58.413151 -48.089317 -28.666962
-61.118992 -42.185352 -22.755806
-60.381756 -36.082718 -33.498604
-63.194462 -40.677372 -33.267326
-58.785473 -50.372932 -31.060429
-56.784492 -43.097275 -22.940609
-53.565735 -42.804054 -31.111006
-56.865665 -39.576820 -28.583147
-59.700687 -44.481464 -36.887535
-58.817284 -47.881088 -34.802292
-53.259266 -39.377819 -32.269188
-60.144321 -49.802563 -30.359257
-60.945282 -33.819115 -28.390656
-58.889950 -46.386917 -30.493811
-55.102089 -41.745667 -38.679520
-61.192093 -40.631561 -35.072449
-63.818447 -36.052315 -32.111736
-59.926048 -42.775276 -38.598667
-53.918015 -41.598034 -27.580515
-59.142628 -49.776760 -29.727005
-63.186939 -41.759972 -27.839907
-64.497429 -38.129711 -33.497322
-57.641567 -37.069553 -28.243494
-60.244789 -44.776108 -38.860184
-60.090637 -50.201916 -31.167639
-54.748867 -45.010292 -31.250290
-56.599712 -42.363762 -22.610292
-62.223312 -36.029179 -29.719828
-59.587223 -36.207844 -25.633408
-60.313431 -36.051105 -27.203535
-58.178280 -39.023502 -36.817535
-57.692528 -34.439533 -30.672783
-65.506424 -44.190151 -28.659431
-58.203888 -39.526432 -25.569357
-58.986549 -43.317917 -24.654877
-63.875473 -44.042110 -26.068989
-60.006504 -36.532249 -25.919380
-67.147873 -43.810535 -30.006571
-58.595684 -41.642746 -29.019474
-56.758579 -35.468254 -33.697071
-60.758190 -46.284817 -22.523230
-61.949265 -48.373013 -28.543663
-58.786736 -46.817459 -25.216314
-63.898125 -43.759068 -25.713478
-56.321476 -43.764965 -27.405121
-59.615879 -42.569214 -39.237766
-54.638748 -41.752567 -33.154259
-59.152664 -43.230858 -24.549707
-59.179760 -38.583290 -22.808247
-56.304222 -43.054012 -27.389128
-59.594223 -44.796974 -40.032082
