5000 3
12.592418 -1.941056 -2.575239
8.375356 8.343414 -4.423869
17.612772 5.274165 -4.435541
16.360012 5.182967 -4.683938
14.784286 -1.123319 -4.464461
17.981771 6.249130 -5.274792
8.480226 8.090001 -4.683907
14.850417 8.325179 -8.589495
16.522173 0.999427 -2.740267
15.854253 2.098124 -4.293652
14.363651 -0.538877 -3.290239
15.678140 6.605421 -8.009316
16.654196 5.094855 -6.468719
15.707573 0.800164 -4.425847
17.664103 5.549275 -5.226798
8.009499 9.958759 -3.876513
14.691997 1.570397 -2.682136
13.422996 0.604946 -2.636314
15.660086 6.615756 -8.182749
17.648132 5.424670 -6.132262
10.973228 9.005082 -6.480561
14.955923 0.423463 -2.313309
14.365655 0.428495 -4.301445
14.784223 1.548169 -4.157569
18.217371 6.071922 -4.952296
18.210028 6.492279 -5.102099
14.225560 6.036692 -8.543982
11.154994 7.967886 -7.649584
17.639580 6.490642 -4.864197
15.860271 4.864050 -5.049011
7.591314 9.611705 -3.518610
9.091824 2.914447 5.399534
13.757016 6.604083 -9.169739
10.139032 8.203998 -6.330615
10.699480 8.757614 -6.604608
18.131033 6.101212 -5.420971
11.430149 8.087171 -7.987684
10.852192 8.976780 -8.003984
10.536017 8.133334 -8.417849
14.662108 6.153163 -8.974464
14.168203 6.097053 -8.539349
15.101594 6.381157 -8.932653
14.514050 6.578100 -6.561861
10.654707 9.234797 -3.094039
7.510745 9.438860 -3.378321
7.418683 9.329216 -3.269086
18.845116 5.677835 -2.769397
11.633463 8.272114 -8.267982
10.347111 9.009501 -3.510360
15.039907 6.303733 -8.952335
10.191190 8.897103 -3.352597
6.430922 7.144840 -7.203629
10.534209 8.246213 -4.322649
14.684715 8.506171 -8.845078
13.601195 6.770855 -9.179415
9.024428 5.566075 -8.533621
10.421665 9.023547 -3.531278
11.472778 8.398191 -8.108246
14.881544 5.012887 1.466796
8.916374 4.053021 -9.528615
11.185172 8.239253 -7.816441
17.400284 6.416478 -6.269381
16.133692 6.452220 -6.402998
17.298960 7.037467 -5.005506
17.188385 3.936671 1.428423
12.550843 0.548346 -0.849686
10.214842 9.090461 -3.615437
12.795483 7.274859 -5.637252
15.716637 3.943977 -6.959242
14.675283 8.517392 -8.835624
15.840796 4.796249 -5.277697
17.413214 1.109022 1.741091
12.219218 8.379210 -8.670755
16.568138 -2.669074 -2.079140
14.694906 8.422634 -8.770938
16.533440 -2.800722 -2.130172
9.096738 9.382444 -4.983681
14.686021 6.783464 -6.375646
18.146210 6.216445 -4.879206
9.456453 4.862929 0.418184
17.304907 7.039708 -5.307035
12.935009 0.607767 -4.248724
10.698848 2.233821 6.145082
8.576917 -2.555930 -4.190790
19.381268 3.110450 -0.203876
17.901720 6.327825 -5.216923
17.663027 3.855188 -4.476428
8.957406 5.245604 -8.752313
16.012859 6.384108 -6.458209
10.204649 4.637960 -9.096899
13.836109 2.285204 -6.523786
15.542656 2.705975 -3.344908
12.457066 0.955062 1.360765
10.656578 9.240782 -8.124968
8.373506 -1.425801 2.740218
15.138157 6.849694 -5.836453
14.611689 3.321912 3.917548
14.752863 8.385074 -8.791356
6.393604 8.432151 -4.529234
15.824256 6.847620 -6.589803
16.214849 6.795109 -6.270973
14.891966 5.007066 1.889631
13.344348 6.166346 -8.486172
17.233536 4.232907 1.355814
12.379922 6.799187 -7.291075
8.827758 9.176397 -4.716054
10.424480 8.385363 -4.177789
17.769859 6.474929 -5.446785
7.284078 7.995570 -3.429374
7.865980 4.932009 -6.129629
9.153999 5.662570 -8.647003
7.545588 9.558257 -3.526087
16.744375 -1.443418 -3.412524
8.153856 2.936946 -1.028697
8.376587 -1.533597 2.730734
6.553021 8.566862 -4.794794
16.566742 -1.307971 -3.242508
12.198148 7.947147 -6.410657
17.427750 6.563307 -5.862573
6.567320 8.604568 -4.815177
10.322600 -5.617823 -2.579156
16.780275 0.256301 2.414853
16.014482 -1.784029 -2.919146
4.582389 3.383445 3.237144
17.197598 7.110531 -4.835814
15.903354 6.557063 -6.679453
15.249496 -2.113089 -2.453164
11.568705 2.515211 -0.636158
15.627362 1.950464 1.087499
18.124561 0.107436 2.442730
17.315561 4.002818 1.321073
14.506499 3.980805 3.875494
17.126955 4.602272 -4.521150
18.405884 5.040296 -3.675635
16.912430 5.244898 -4.333487
15.758945 6.522134 -8.074464
5.353643 -1.681036 -3.471035
18.300262 5.804778 1.350461
8.755304 9.125465 -4.658982
11.878777 6.631583 -7.314981
9.974442 -1.497296 -0.106378
12.241649 0.352496 -2.030716
15.630369 6.634838 -6.907248
10.285597 9.112733 -3.470775
9.606419 0.464222 0.144476
17.954525 -1.957980 -3.088738
16.719656 0.877634 -2.866994
17.088449 6.368547 -1.924663
6.902359 6.754454 -7.528309
10.594066 -5.653245 -2.706444
15.711530 -2.106461 -3.341249
17.235977 4.240686 1.339513
17.336998 6.454669 -6.427082
10.263782 5.553527 -0.362017
10.959810 8.937544 -6.481440
12.342838 8.432792 -8.816808
17.689844 6.391588 -4.354277
16.220783 -2.066321 -3.486576
12.242680 7.475294 4.517877
15.988929 3.833993 -6.855128
14.668668 8.441854 -8.748306
6.141311 4.217474 -8.642018
10.031148 9.197479 -3.659600
10.609056 9.053113 -8.096904
18.871000 5.636482 -2.496859
16.381870 -1.234529 -3.342573
17.738146 2.999461 -4.101142
8.686221 8.043745 -4.871673
16.039333 5.605632 -2.419164
11.438378 8.098760 -7.932300
16.398355 -1.841000 -3.192164
10.070674 1.495597 -3.423975
17.259594 3.947592 1.250082
10.790338 9.304576 -2.999949
10.007643 3.285018 3.431882
8.752422 4.622258 2.248914
14.365799 6.585634 -8.455381
11.480929 1.247047 2.751790
8.389658 -1.289066 -3.768982
10.203237 -4.189655 -2.079243
12.840635 -4.294737 2.812531
12.126103 3.176270 -5.176579
15.780338 5.767019 -2.070006
8.346198 6.614368 -0.571335
5.799922 2.405088 -1.908424
12.867429 7.551947 2.578788
7.804007 0.402183 3.173361
8.531525 -2.002962 -0.394148
17.041357 -1.017302 -1.581016
9.853960 -4.260830 -2.495620
2.776972 0.763686 -3.999330
10.547310 8.680784 -8.351813
17.601421 6.401704 -5.807142
12.746863 -4.355829 2.799192
10.143330 -0.545258 2.488966
18.317467 4.960415 -3.724475
11.970398 8.351628 -8.560107
8.867245 -2.662976 0.276151
7.998680 3.358035 1.888661
7.467827 3.269905 -8.529849
15.945760 4.739069 -4.687773
18.591175 4.449805 1.653076
7.102624 -0.765220 -4.420249
9.685439 -1.367849 -6.213413
10.411546 9.068976 -7.620212
12.209769 -5.316700 0.459508
11.424123 6.415891 1.125181
12.130464 8.370006 -8.669819
11.381259 -0.994754 3.534925
8.235027 4.694960 -4.181833
4.181322 7.066487 0.385447
17.619482 6.778258 -5.220568
14.671631 5.434677 -8.713191
15.147147 -0.148494 0.702161
12.000918 -3.978849 -4.495559
7.155212 3.251816 -6.090791
14.949968 7.799486 -8.259724
16.691807 -3.318529 1.660197
14.269753 3.341777 4.941800
8.522053 -0.272555 -0.342379
15.793299 6.929953 -6.661732
16.020208 5.524809 -2.335818
18.333427 5.077601 -3.580764
17.742374 6.449988 -4.692540
8.496037 4.778273 1.312989
15.352423 3.611705 1.952292
15.182489 6.062909 -6.035309
18.729830 4.684720 -3.854355
16.984867 5.685762 -4.594862
7.014789 2.326397 -4.703600
